SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
85,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_erythropus,Red-legged Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,485,Dunning08,1,NA,NA
87,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_duidae,Grey-legged Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,426,Dunning08,1,NA,NA
88,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_noctivagus,Yellow-legged Tinamou,30,0,0,0,0,0,0,0,30,40,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,561.99,Dunning08,1,NA,NA
89,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_atrocapillus,Black-capped Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,453,Dunning08,1,NA,NA
90,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_variegatus,Variegated Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,378,Dunning08,1,NA,NA
91,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_brevirostris,Rusty Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,411.51,GenAvg,0,NA,NA
92,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_bartletti,Bartlett's Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,241,Dunning08,1,NA,NA
93,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_parvirostris,Small-billed Tinamou,40,0,0,0,0,0,0,0,60,0,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,198.99,Dunning08,1,NA,NA
94,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_casiquiare,Barred Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,411.51,GenAvg,0,NA,NA
95,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_tataupa,Tataupa Tinamou,50,0,0,0,0,0,0,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,50,50,0,0,0,0,Ref_1,1,Jessica,0,218.8,Dunning08,1,NA,NA
