ID,longitude,latitude,timestamp
191545.1,-121.9687805,38.13296509,5/18/2019 17:28
191545.1,-121.9688263,38.13291168,5/18/2019 17:58
191545.1,-121.9688721,38.13284683,5/18/2019 19:13
191545.1,-121.9692535,38.13311386,5/18/2019 21:44
191545.1,-121.989418,38.13284302,5/19/2019 4:44
191545.1,-121.9895401,38.13273239,5/19/2019 5:43
191545.1,-121.98983,38.13326263,5/19/2019 6:43
191545.1,-121.990448,38.13344955,5/19/2019 7:43
191545.1,-121.990387,38.13351059,5/19/2019 8:43
191545.1,-121.9903717,38.13333511,5/19/2019 9:43
191545.1,-121.9903946,38.13341141,5/19/2019 10:43
191545.1,-121.9904251,38.13342285,5/19/2019 11:43
191545.1,-121.9785385,38.13441086,5/19/2019 12:44
191545.1,-121.9688644,38.13284683,5/19/2019 13:43
191545.1,-121.9688187,38.1328392,5/19/2019 14:43
191545.1,-121.9686508,38.13292694,5/19/2019 15:43
191545.1,-121.968811,38.13281631,5/19/2019 17:43
191545.1,-121.9688263,38.13290405,5/19/2019 18:43
191545.1,-121.9686508,38.13275146,5/19/2019 19:44
191545.1,-121.9689331,38.13286209,5/19/2019 20:44
191545.1,-121.9688263,38.13258362,5/19/2019 21:44
191545.1,-121.9525833,38.14240265,5/19/2019 22:43
191545.1,-121.9528885,38.14280319,5/19/2019 23:43
191545.1,-121.9534302,38.14151001,5/20/2019 0:43
191545.1,-121.9527283,38.14231491,5/20/2019 1:43
191545.1,-121.9517975,38.14179611,5/20/2019 2:43
191545.1,-121.9516754,38.14141846,5/20/2019 3:43
191545.1,-121.9532471,38.14075089,5/20/2019 4:44
191545.1,-121.9552383,38.14441681,5/20/2019 5:43
191545.1,-121.9561615,38.14343643,5/20/2019 6:43
191545.1,-121.9554062,38.14276886,5/20/2019 7:43
191545.1,-121.9540863,38.14336395,5/20/2019 8:43
191545.1,-121.9533615,38.14278793,5/20/2019 9:43
191545.1,-121.9537964,38.14365768,5/20/2019 10:43
191545.1,-121.953186,38.14265823,5/20/2019 11:44
191545.1,-121.9538116,38.14110184,5/20/2019 12:43
191545.1,-121.9538269,38.14109802,5/20/2019 13:43
191545.1,-121.9538498,38.14108276,5/20/2019 14:44
191545.1,-121.9538193,38.14109421,5/20/2019 15:44
191545.1,-121.9538651,38.1411171,5/20/2019 16:43
191545.1,-121.954834,38.14277649,5/20/2019 17:44
191545.1,-121.95224,38.13858414,5/20/2019 18:43
191545.1,-121.9522705,38.13871002,5/20/2019 19:43
191545.1,-121.9525299,38.13860321,5/20/2019 20:28
191545.1,-121.9525681,38.13858795,5/20/2019 20:58
191545.1,-121.952179,38.13869095,5/20/2019 21:28
191545.1,-121.9521027,38.13866043,5/20/2019 21:58
191545.1,-121.9528351,38.13807297,5/20/2019 22:28
191545.1,-121.9525223,38.13815308,5/20/2019 22:58
191545.1,-121.9526062,38.13822174,5/20/2019 23:28
191545.1,-121.952652,38.13816833,5/20/2019 23:58
191545.1,-121.9526367,38.13820648,5/21/2019 0:28
191545.1,-121.9526978,38.13822174,5/21/2019 0:58
191545.1,-121.9437103,38.13502502,5/21/2019 1:28
191545.1,-121.9421768,38.13380432,5/21/2019 1:58
191545.1,-121.9431076,38.13365555,5/21/2019 2:28
191545.1,-121.9430313,38.13375092,5/21/2019 2:58
191545.1,-121.9430161,38.13376617,5/21/2019 3:28
191545.1,-121.9430084,38.13368988,5/21/2019 3:58
191545.1,-121.9431763,38.1336937,5/21/2019 4:28
191545.1,-121.943428,38.13360214,5/21/2019 4:58
191545.1,-121.9434357,38.13365173,5/21/2019 5:28
191545.1,-121.9434814,38.13365936,5/21/2019 5:58
191545.1,-121.9435425,38.13383484,5/21/2019 6:28
191545.1,-121.9432831,38.13359833,5/21/2019 6:58
191545.1,-121.9432831,38.13363266,5/21/2019 7:28
